Toll Name,Fee Effective Date,Ca/Jeep/Van,LCV,Bus Truck,Up To 3 Axle,Four To Six,HCM,Seven Or More,Revision Date
Karjeevanhalli,01-Apr-21,85.00;130.00;2915.00;NA,140.00;210.00;4700.00;NA,295.00 ;445.00;9850.00;NA,465.00 ;695.00;15450.00;NA,465.00 ;695.00;15450.00;NA,465.00 ;695.00;15450.00;NA,565.00 ;850.00;18810.00;NA,
Kannegala,01-Apr-21,25.00;40.00;915.00;15.00,45.00;65.00;1480.00;20.00,95.00 ;140.00;3095.00;45.00,100.00 ;150.00;3375.00;50.00,145.00 ;220.00;4855.00;75.00,145.00 ;220.00;4855.00;75.00,175.00 ;265.00;5910.00;90.00,
Hitnal,01-Apr-21,45.00;65.00;1420.00;NA,65.00;100.00;2180.00;NA,135.00 ;200.00;4435.00;NA,200.00 ;305.00;6725.00;NA,200.00 ;305.00;6725.00;NA,200.00 ;305.00;6725.00;NA,260.00 ;395.00;8725.00;NA,
Kamkole,01-Apr-21,95.00;145.00;3195.00;50.00,155.00;230.00;5165.00;75.00,325.00 ;485.00;10820.00;160.00,355.00 ;530.00;11800.00;175.00,510.00 ;765.00;16965.00;255.00,510.00 ;765.00;16965.00;255.00,620.00 ;930.00;20650.00;310.00,
Holegadde,01-Apr-21,75.00;115.00;2560.00;40.00,120.00;180.00;4035.00;60.00,250.00 ;375.00;8330.00;125.00,275.00 ;410.00;9110.00;135.00,385.00 ;580.00;12850.00;195.00,385.00 ;580.00;12850.00;195.00,485.00 ;725.00;16140.00;240.00,
Hirebagewadi,01-Apr-21,100.00;145.00;3270.00;NA,160.00;240.00;5280.00;NA,330.00 ;500.00;11065.00;NA,520.00 ;780.00;17350.00;NA,520.00 ;780.00;17350.00;NA,520.00 ;780.00;17350.00;NA,635.00 ;950.00;21120.00;NA,
Mulbagal,01-Sep-19,70.00;105.00;2140.00;NA,125.00;185.00;3745.00;NA,250.00 ;375.00;7485.00;NA,400.00 ;600.00;12030.00;NA,400.00 ;600.00;12030.00;NA,400.00 ;600.00;12030.00;NA,400.00 ;600.00;12030.00;NA,
Hejamadi,01-Apr-21,40.00;60.00;1280.00;NA,60.00;95.00;2065.00;NA,130.00 ;195.00;4325.00;NA,205.00 ;305.00;6785.00;NA,205.00 ;305.00;6785.00;NA,205.00 ;305.00;6785.00;NA,250.00 ;370.00;8260.00;NA,
Hebbalu,26-Jan-2018          ,60.00;85.00;1935.00;30.00,95.00;140.00;3125.00;45.00,195.00 ;295.00;6545.00;100.00,215.00 ;320.00;7140.00;105.00,310.00 ;460.00;10265.00;155.00,310.00 ;460.00;10265.00;155.00,375.00 ;560.00;12500.00;185.00,04-May-21
Hazamady,01-Apr-2019          ,35.00;55.00;1195.00;NA,60.00;85.00;1930.00;NA,120.00 ;180.00;4040.00;NA,190.00 ;285.00;6335.00;NA,190.00 ;285.00;6335.00;NA,190.00 ;285.00;6335.00;NA,230.00 ;345.00;7710.00;NA,30-Mar-20
Gabbur (MoRTH),01-Jan-2014          ,45.00;NA;NA;NA,113.00;NA;NA;NA,151.00 ;NA;NA;NA,178.00 ;NA;NA;NA,,,,31-Mar-15
