plazaCode,PlazaName,Latitude,Longitude,Issue,
318004,Bann Toll Plaza,32.8390172,74.938158,,
244000,18th Mile Toll Plaza,,73.2186813,,
244001,Gazole Toll Plaza,25.195846,88.1803939,,
536002,HSTL TP01- Khadki,22.648374,73.519435,,
536003,HSTL TP02- Gaman Bariya na muvada,23.013426,73.618243,,
536004,HSTL TP03- Galiya Danti,23.36795,73.516,,
536005,HSTL TP04- Gajan,23.505388,73.303506,,
245001,SONWAY Toll Plaza,22.6120672,75.7743171,,
345005,Purankhedi Toll Plaza,25.1653636,77.6015941,,
550001,Kokapet,17.407434,78.330411,,
550002,Edulanagulapally,17.463351,78.249258,,
550003,Patancheru,17.5242322,78.2699382,,
550004,Sultanpur,17.557995,78.309689,,
550005,Dundigal,17.5947551,78.4072428,,
550006,Medchal,17.355345,78.292706,,
550007,Shamirpet,17.343361,78.341763,,
550008,Keesara,16.7180673,80.3221026,,
550009,Ghatkesar,17.441863,78.6646357,,
550010,Taramatipet,17.37295,78.68157,,
550011,Pedda Amberpet,17.3198226,78.6537124,,
550012,Bongulur,17.2379602,78.5818982,,
550013,Ravi Ryal,17.21254,78.53084,,
550014,Tukkuguda,17.203546,78.4755604,,
550015,Peddagolconda,17.121417,78.235572,,
550016,Shamshabad,17.2531651,78.3768601,,
550017,Rajendra Nagar,17.3236274,78.3728306,,
550018,TSPA,17.350408,78.359373,,
550019,Nanakramguda,17.242648,78.211582,,
556001,Kadathanamale Toll Plaza,13.2133176,77.5519474,,
556002,Gunjur Toll Plaza,27.2038,77.5011,,
556003,BYADARAHALLI,12.521607,76.041609,,
556004,NILAVAGILU,12.665833,76.088119,,
556005,COORGAL,12.4421692,76.1016017,,
556006,GUDEMARANAHALLI,13.022707,77.153308,,
556007,TUMBADI,13.5796233,77.2372656,,
556008,BUDDAREDDYHALLI,14.2041313,77.2575438,,
556009,DODDAMAVATHURU,12.533502,77.024003,,
556010,OBALAPURA,13.4375022,77.1598453,,
320059,Chhajarsi,28.7017268,77.6197457,shows pilukhawa,
63101,Bellupada,19.1113148,84.6970762,,
69001,Vempadu,17.3977035,82.6735997,,
70001,Krishnavaram,17.2154368,82.1085364,,
96001,Surajbari Toll Plaza,23.2339214,70.6870182,,
97001,Vaghasiya Toll Plaza,22.6478584,70.9534292,,
98001,Vanana Toll Plaza,21.6650027,69.7073555,,
99001,Dhumiyani Toll Plaza,21.7514523,70.3246272,,
212001,Laxmipuram,18.73356,84.38986,,
239300,Unguturu Toll Plaza,16.8237526,81.4284996,,
239301,Eethakota at Km.946.300,16.7152177,81.8256571,,
9001,Shahjahanpur Toll Plaza,27.9997337,76.4284952,,
360028,SURAPATTU TOLL PLAZA,13.1365033,80.1795201,,
35001,ELECTRONIC,12.84628,77.66717,,
35002,ATTIBELLE,12.776918,77.7748955,,
45001,Gudur Toll Plaza,17.4857266,78.8191165,,
50001,Niyamatpur Ekrotiya Toll Plaza,28.8143374,78.9023,,
50002,Thiriya Khetal Toll Plaza,28.50166,79.28311,,
51001,Sawaleshwar Toll Plaza,17.7647083,75.7537436,,
51002,Varwade Toll Plaza,17.9576047,75.3288715,,
63001,Bhatwada Toll Plaza,22.7929704,73.8406778,,
352021,Chilakapalem,18.2734573,83.8057882,,
352022,Nathavalasa,18.0580088,83.5189649,,
84001,Hariabara,26.1526789,87.4430743,,
85001,Asanpur,26.2977638,86.6307544,,
87001,Maithi,26.112648,85.5626523,,
91001,Durg Bypass,21.2144883,81.2857814,,
336011,Varahi Toll Plaza,23.7913697,71.4254749,,
336012,Makhel Toll Plaza,23.4905106,70.9404866,,
336013,Bhiladi Toll Plaza,24.1438932,71.9749458,,
336014,Bhalgam Toll Plaza,23.9123028,71.7818836,,
103001,Jat Gangaicha Toll Plaza,28.2774016,76.6117404,,
103002,Dighal Toll Plaza,28.7774803,76.6190708,,
356016,Bankapur,14.910025,75.2775992,,
124001,Kumbalam Toll Plaza,9.8952786,76.3113406,,
137001,Mathni,21.1395528,79.3628909,,
375016,Gudipada or Gangapada Toll Plaza,20.2035273,85.6664222,,
151001,Sambalpur Baragarh Tollways,21.35868,83.6844,,
182001,Salemgarh Toll Plaza,26.6316762,84.2361048,,
183001,Muzaina Hetim Toll Plaza,26.7338266,83.8063685,,
184001,Tendua Toll Plaza,26.7241164,83.2722859,,
185001,Chaukadi Toll Plaza,26.7813909,82.4147719,,
186001,Mandawnagar Toll Plaza,26.81082,82.7315,,
192001,Naini Toll Plaza,25.4163144,81.8587921,,
201001,Madrak Toll Plaza,27.8040013,78.0848884,,
201002,Baros Toll Plaza,27.3355047,78.0289113,,
209001,Beliyad toll plaza,23.7636291,86.795756,,
352023,S.V Puram Toll Plaza,13.5255139,79.5307153,,
360029,Pattarai Toll Plaza,13.161484,79.854168,,
239900,Raje Toll Plaza (T-2),26.225132,86.149965,,
312027,Badarpur faridabad,28.5062092,77.2982334,,
545004,Phanda Toll Plaza,23.22478,77.19078,,
545005,Amlaha Toll Plaza,23.1023049,76.8737113,,
